sp_name,latitude,longitude,value,param_std_unit_of_measure
Alphington,-37.77840805,145.0305939,481.2000122,ug/m3
Alphington,-37.77840805,145.0305939,440.2000122,ug/m3
Alphington,-37.77840805,145.0305939,421.5,ug/m3
Alphington,-37.77840805,145.0305939,404.8999939,ug/m3
Alphington,-37.77840805,145.0305939,391,ug/m3
Alphington,-37.77840805,145.0305939,380.1000061,ug/m3
Alphington,-37.77840805,145.0305939,335.6000061,ug/m3
Alphington,-37.77840805,145.0305939,284.7000122,ug/m3
Alphington,-37.77840805,145.0305939,245.1999969,ug/m3
Alphington,-37.77840805,145.0305939,246,ug/m3
Alphington,-37.77840805,145.0305939,240.6000061,ug/m3
Alphington,-37.77840805,145.0305939,249.1999969,ug/m3
Alphington,-37.77840805,145.0305939,213.1000061,ug/m3
Alphington,-37.77840805,145.0305939,206.6999969,ug/m3
Alphington,-37.77840805,145.0305939,190.8999939,ug/m3
Alphington,-37.77840805,145.0305939,169.1000061,ug/m3
Alphington,-37.77840805,145.0305939,90.40000153,ug/m3
Alphington,-37.77840805,145.0305939,99.59999847,ug/m3
Alphington,-37.77840805,145.0305939,98.40000153,ug/m3
Alphington,-37.77840805,145.0305939,128.5,ug/m3
Alphington,-37.77840805,145.0305939,128.8000031,ug/m3
Alphington,-37.77840805,145.0305939,128.3999939,ug/m3
Alphington,-37.77840805,145.0305939,115.5,ug/m3
Alphington,-37.77840805,145.0305939,106.4000015,ug/m3
Brooklyn,-37.8219986,144.8471069,445.7999878,ug/m3
Brooklyn,-37.8219986,144.8471069,418.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,412.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,384.7000122,ug/m3
Brooklyn,-37.8219986,144.8471069,281.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,222.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,213.5,ug/m3
Brooklyn,-37.8219986,144.8471069,193.8000031,ug/m3
Brooklyn,-37.8219986,144.8471069,164.8000031,ug/m3
Brooklyn,-37.8219986,144.8471069,181.8999939,ug/m3
Brooklyn,-37.8219986,144.8471069,207.1999969,ug/m3
Brooklyn,-37.8219986,144.8471069,166.1999969,ug/m3
Brooklyn,-37.8219986,144.8471069,161.6000061,ug/m3
Brooklyn,-37.8219986,144.8471069,179.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,176.6000061,ug/m3
Brooklyn,-37.8219986,144.8471069,210.6999969,ug/m3
Brooklyn,-37.8219986,144.8471069,164.3000031,ug/m3
Brooklyn,-37.8219986,144.8471069,143.1000061,ug/m3
Brooklyn,-37.8219986,144.8471069,167.8999939,ug/m3
Brooklyn,-37.8219986,144.8471069,144.3999939,ug/m3
Brooklyn,-37.8219986,144.8471069,162,ug/m3
Brooklyn,-37.8219986,144.8471069,149.8000031,ug/m3
Brooklyn,-37.8219986,144.8471069,158,ug/m3
Brooklyn,-37.8219986,144.8471069,153.3000031,ug/m3
Churchill,-38.30431366,146.4149323,266,ug/m3
Churchill,-38.30431366,146.4149323,258.7999878,ug/m3
Churchill,-38.30431366,146.4149323,249.6000061,ug/m3
Churchill,-38.30431366,146.4149323,233.5,ug/m3
Churchill,-38.30431366,146.4149323,217.3000031,ug/m3
Churchill,-38.30431366,146.4149323,206.6999969,ug/m3
Churchill,-38.30431366,146.4149323,202.6000061,ug/m3
Churchill,-38.30431366,146.4149323,195.1999969,ug/m3
Churchill,-38.30431366,146.4149323,181.3999939,ug/m3
Churchill,-38.30431366,146.4149323,185.1999969,ug/m3
Churchill,-38.30431366,146.4149323,188.1999969,ug/m3
Churchill,-38.30431366,146.4149323,192.6000061,ug/m3
Churchill,-38.30431366,146.4149323,197.3000031,ug/m3
Churchill,-38.30431366,146.4149323,194.6000061,ug/m3
Churchill,-38.30431366,146.4149323,183.5,ug/m3
Churchill,-38.30431366,146.4149323,167.3000031,ug/m3
Churchill,-38.30431366,146.4149323,165.3000031,ug/m3
Churchill,-38.30431366,146.4149323,185.6999969,ug/m3
Churchill,-38.30431366,146.4149323,200.3000031,ug/m3
Churchill,-38.30431366,146.4149323,208.3000031,ug/m3
Churchill,-38.30431366,146.4149323,211,ug/m3
Churchill,-38.30431366,146.4149323,206.6999969,ug/m3
Churchill,-38.30431366,146.4149323,198.3999939,ug/m3
Churchill,-38.30431366,146.4149323,206.5,ug/m3
Dandenong,-37.98575974,145.1987,236.5,ug/m3
Dandenong,-37.98575974,145.1987,313.2999878,ug/m3
Dandenong,-37.98575974,145.1987,476.2000122,ug/m3
Dandenong,-37.98575974,145.1987,456.8999939,ug/m3
Dandenong,-37.98575974,145.1987,424.1000061,ug/m3
Dandenong,-37.98575974,145.1987,365.7999878,ug/m3
Dandenong,-37.98575974,145.1987,369.3999939,ug/m3
Dandenong,-37.98575974,145.1987,378.1000061,ug/m3
Dandenong,-37.98575974,145.1987,345.7000122,ug/m3
Dandenong,-37.98575974,145.1987,321.8999939,ug/m3
Dandenong,-37.98575974,145.1987,291.2999878,ug/m3
Dandenong,-37.98575974,145.1987,253.5,ug/m3
Dandenong,-37.98575974,145.1987,201.8999939,ug/m3
Dandenong,-37.98575974,145.1987,209.6999969,ug/m3
Dandenong,-37.98575974,145.1987,186,ug/m3
Dandenong,-37.98575974,145.1987,182.3000031,ug/m3
Dandenong,-37.98575974,145.1987,166.6999969,ug/m3
Dandenong,-37.98575974,145.1987,141.6000061,ug/m3
Dandenong,-37.98575974,145.1987,168.6999969,ug/m3
Dandenong,-37.98575974,145.1987,181.6000061,ug/m3
Dandenong,-37.98575974,145.1987,183.5,ug/m3
Dandenong,-37.98575974,145.1987,165.8000031,ug/m3
Dandenong,-37.98575974,145.1987,129.6000061,ug/m3
Dandenong,-37.98575974,145.1987,152.8999939,ug/m3
Footscray,-37.80487823,144.8728027,325.6000061,ug/m3
Footscray,-37.80487823,144.8728027,378.2999878,ug/m3
Footscray,-37.80487823,144.8728027,389.6000061,ug/m3
Footscray,-37.80487823,144.8728027,380,ug/m3
Footscray,-37.80487823,144.8728027,358.6000061,ug/m3
Footscray,-37.80487823,144.8728027,319.2999878,ug/m3
Footscray,-37.80487823,144.8728027,270.5,ug/m3
Footscray,-37.80487823,144.8728027,240.1000061,ug/m3
Footscray,-37.80487823,144.8728027,217.3999939,ug/m3
Footscray,-37.80487823,144.8728027,197.6000061,ug/m3
Footscray,-37.80487823,144.8728027,186.1000061,ug/m3
Footscray,-37.80487823,144.8728027,182.3000031,ug/m3
Footscray,-37.80487823,144.8728027,167.3000031,ug/m3
Footscray,-37.80487823,144.8728027,156.3999939,ug/m3
Footscray,-37.80487823,144.8728027,146.6999969,ug/m3
Footscray,-37.80487823,144.8728027,146.8999939,ug/m3
Footscray,-37.80487823,144.8728027,147,ug/m3
Footscray,-37.80487823,144.8728027,137.1999969,ug/m3
Footscray,-37.80487823,144.8728027,132.3999939,ug/m3
Footscray,-37.80487823,144.8728027,125,ug/m3
Footscray,-37.80487823,144.8728027,120.8000031,ug/m3
Footscray,-37.80487823,144.8728027,123.0999985,ug/m3
Footscray,-37.80487823,144.8728027,129.8000031,ug/m3
Footscray,-37.80487823,144.8728027,130.8999939,ug/m3
Geelong South,-38.1735611,144.3703003,363.5,ug/m3
Geelong South,-38.1735611,144.3703003,405.1000061,ug/m3
Geelong South,-38.1735611,144.3703003,346.3999939,ug/m3
Geelong South,-38.1735611,144.3703003,284.3999939,ug/m3
Geelong South,-38.1735611,144.3703003,293.7000122,ug/m3
Geelong South,-38.1735611,144.3703003,199.1999969,ug/m3
Geelong South,-38.1735611,144.3703003,179.8000031,ug/m3
Geelong South,-38.1735611,144.3703003,145.3000031,ug/m3
Geelong South,-38.1735611,144.3703003,130.8999939,ug/m3
Geelong South,-38.1735611,144.3703003,129.6000061,ug/m3
Geelong South,-38.1735611,144.3703003,132.5,ug/m3
Geelong South,-38.1735611,144.3703003,92.09999847,ug/m3
Geelong South,-38.1735611,144.3703003,152,ug/m3
Geelong South,-38.1735611,144.3703003,108.6999969,ug/m3
Geelong South,-38.1735611,144.3703003,172.3999939,ug/m3
Geelong South,-38.1735611,144.3703003,119.5,ug/m3
Geelong South,-38.1735611,144.3703003,129.1000061,ug/m3
