Year,Rainfall,11_year_avg
1870,626.1,
1871,527.7,
1872,441.5,
1873,572.4,
1874,464.1,
1875,594.9,485.71
1876,347.3,460.23
1877,321.0,447.30
1878,714.4,441.41
1879,362.7,414.53
1880,370.7,410.88
1881,345.8,389.01
1882,385.5,408.17
1883,376.7,399.42
1884,276.7,394.70
1885,424.0,403.42
1886,354.3,419.36
1887,558.1,426.98
1888,224.7,427.04
1889,662.5,448.43
1890,458.6,452.35
1891,546.1,441.34
1892,429.6,438.78
1893,386.1,420.17
1894,612.0,431.89
1895,319.8,402.83
1896,302.9,386.69
1897,326.2,362.74
1898,353.4,360.75
1899,353.6,359.23
1900,342.8,335.24
1901,281.1,369.31
1902,282.6,367.57
1903,407.8,362.98
1904,369.3,366.04
1905,348.1,375.15
1906,694.6,378.85
1907,283.8,398.35
1908,275.7,401.64
1909,387.0,377.40
1910,453.8,374.25
1911,383.5,387.30
1912,495.6,382.13
1913,318.8,403.29
1914,141.2,412.71
1915,334.7,415.75
1916,491.6,414.80
1917,637.7,398.70
1918,516.6,391.55
1919,379.3,411.65
1920,420.4,429.67
1921,443.4,435.84
1922,206.4,411.45
1923,417.0,386.89
1924,539.8,372.98
1925,339.5,378.59
1926,402.5,383.94
1927,223.3,382.29
1928,367.6,398.48
1929,363.6,403.85
1930,441.0,387.89
1931,479.2,397.59
1932,425.3,387.42
1933,384.5,383.79
1934,476.0,410.63
1935,364.3,397.33
1936,446.2,396.21
1937,290.6,384.84
1938,183.4,363.57
1939,662.8,347.55
1940,217.3,331.28
1941,428.7,339.13
1942,354.1,336.06
1943,191.4,346.33
1944,208.3,365.60
1945,297.0,353.65
1946,450.6,374.28
1947,412.5,383.93
1948,403.5,382.77
1949,395.4,406.83
1950,531.4,432.85
1951,444.2,472.25
1952,534.8,452.54
1953,341.4,454.90
1954,456.0,457.01
1955,494.5,470.42
1956,730.4,451.72
1957,233.8,446.11
1958,438.5,443.97
1959,426.7,451.78
1960,542.9,443.97
1961,325.7,436.78
1962,382.5,385.63
1963,511.3,396.31
1964,427.3,396.97
1965,370.1,399.95
1966,415.4,394.10
1967,167.7,386.82
1968,351.3,423.83
1969,445.8,450.43
1970,459.4,464.68
1971,478.6,452.33
1972,245.6,436.03
1973,789.6,473.38
1974,803.9,473.48
1975,584.1,457.77
1976,234.2,463.35
1977,236.1,441.01
1978,578.6,463.61
1979,352.4,426.30
1980,273.0,385.76
1981,520.8,366.26
1982,232.8,372.52
1983,494.2,393.20
1984,379.2,377.49
1985,358.0,380.73
1986,369.6,377.42
1987,303.0,380.22
1988,463.6,406.60
1989,405.8,388.75
1990,388.0,388.87
1991,236.6,390.78
1992,551.6,387.18
1993,523.0,400.49
1994,297.8,395.67
1995,380.6,403.55
1996,379.0,396.75
1997,330.0,392.05
1998,449.4,382.11
1999,410.6,360.76
2000,492.4,375.98
2001,313.2,361.31
2002,185.0,356.53
2003,442.2,356.16
2004,288.2,334.44
2005,465.2,361.31
2006,219.2,360.31
2007,326.4,360.62
2008,326.0,372.40
2009,210.4,364.65
2010,706.2,367.87
2011,481.4,370.71
2012,316.6,382.85
2013,314.6,369.18
2014,357.0,360.31
2015,323.6,379.62
2016,496.4,
2017,352.8,
2018,176.0,
2019,228.4,
2020,422.8,
