Name (LGA),% burned
Bega Valley,61.2
Clarence Valley,59
East Gippsland,54.1
Richmond Valley,53.4
Kempsey,53.7
Lithgow,52.5
Walcha,41.2
Tenterfield,33.7
Muswellbrook,26.8
Armidale Regional,28.4
Oberon,20.5
Snowy Monaro Regional,13.5
Somerset,9.3
Lockyer Valley,11.7
Scenic Rim,9.7
Wellington,0.4
Kyogle,7
Balranald,0
Hay,0
Warren,0.4
Bourke,0.2
Coonamble,0.1
Bogan,0
Brewarrina,0
Cobar,0
Walgett,0
Tamworth Regional,6.3
Southern Downs,4
Mid-Western Regional,9.2
Lismore,2.7
Paroo,0
Bundaberg,3
North Burnett,1.4
Goondiwindi,0.4
Western Downs,1.4
Maranoa,0.1
Balonne,0
South Burnett,0.6
Murray River,0
Blayney,0.3
Toowoomba,1.2
Cabonne,0
Carrathool,0
Federation,0.1
Narrandera,0.1
Bland,0
Coolamon,0
Cowra,0
Edward River,0
Forbes,0
Hilltops,0
Junee,0
Lachlan,0
Leeton,0
Murrumbidgee,0
Parkes,0
Temora,0
Weddin,0
Lockhart,0
Dubbo Regional,0.1
Gwydir,2.2
Gilgandra,0
Narromine,0
Narrabri,1.1
Uralla,2.6
Banana,1.9
Liverpool Plains,0.4
Bathurst Regional,0.1
Inverell,1.2
Gunnedah,0
Moree Plains,0.1
Broken Hill,0
Central Darling,0
Eurobodalla,80.8
Hawkesbury,73.3
Shoalhaven,72.2
Wollondilly,63.9
Kangaroo Island,50.7
Port Macquarie-Hastings,47.3
Snowy Valleys,48
Blue Mountains,48.1
Singleton,46.2
Unincorporated ACT,38
Towong,39.4
Glen Innes Severn,32.4
Cessnock,30.4
Alpine,30.3
Wingecarribee,26.3
Nambucca Valley,26.4
Queanbeyan-Palerang Regional,23.8
Mid-Coast,23.6
Noosa,16.3
Central Coast,17.5
Bellingen,12.9
Waverley,0
Brisbane,4.6
Fairfield,0
Sydney,0
Lake Grace,9.7
Gympie,6.8
Byron,5.1
Livingstone,9.1
Mildura,0
Esperance,9
Cumberland,0
Canterbury-Bankstown,0
Gnowangerup,6.4
Flinders,1.5
Wentworth,0
Denmark,5.9
Gold Coast,1
Unincorporated NSW,0
Gladstone,6.8
Liverpool,0.3
Ballina,2.1
Coffs Harbour,4.3
Woollahra,0
Fraser Coast,3.9
Goulburn Mulwaree,3.9
Pyrenees,0.8
Randwick,0
Bayside,0
Barkly,0.2
Greater Hume Shire,5.7
Penrith,0.7
The Hills Shire,2.1
