Year,temp_diff,Rainfall
1910,-0.5,453.8
1911,-0.68,383.5
1912,-0.2,495.6
1913,-0.87,318.8
1914,0.12,141.2
1915,0.07,334.7
1916,-0.57,491.6
1917,-1.24,637.7
1918,-0.54,516.6
1919,-0.15,379.3
1920,-0.53,420.4
1921,-0.23,443.4
1922,-0.47,206.4
1923,-0.38,417
1924,-0.69,539.8
1925,-0.77,339.5
1926,-0.17,402.5
1927,-0.51,223.3
1928,0.16,367.6
1929,-0.87,363.6
1930,-0.24,441
1931,-0.59,479.2
1932,-0.42,425.3
1933,-0.45,384.5
1934,-0.36,476
1935,-0.5,364.3
1936,-0.14,446.2
1937,-0.36,290.6
1938,0.19,183.4
1939,-0.62,662.8
1940,-0.24,217.3
1941,-0.55,428.7
1942,0.08,354.1
1943,-0.62,191.4
1944,-0.4,208.3
1945,-0.29,297
1946,-0.73,450.6
1947,-0.25,412.5
1948,-0.45,403.5
1949,-0.94,395.4
1950,-0.61,531.4
1951,-0.43,444.2
1952,-0.43,534.8
1953,-0.45,341.4
1954,-0.36,456
1955,-0.32,494.5
1956,-0.92,730.4
1957,0.04,233.8
1958,0.14,438.5
1959,0.24,426.7
1960,-0.66,542.9
1961,0.05,325.7
1962,-0.11,382.5
1963,-0.13,511.3
1964,-0.22,427.3
1965,0.25,370.1
1966,-0.5,415.4
1967,-0.22,167.7
1968,-0.39,351.3
1969,-0.03,445.8
1970,-0.1,459.4
1971,-0.22,478.6
1972,0.15,245.6
1973,0.54,789.6
1974,-0.7,803.9
1975,-0.22,584.1
1976,-0.75,234.2
1977,-0.04,236.1
1978,-0.31,578.6
1979,0.37,352.4
1980,0.74,273
1981,0.27,520.8
1982,-0.04,232.8
1983,0.33,494.2
1984,-0.38,379.2
1985,0.21,358
1986,0.22,369.6
1987,0.17,303
1988,0.73,463.6
1989,-0.02,405.8
1990,0.47,388
1991,0.6,236.6
1992,0.12,551.6
1993,0.31,523
1994,0.18,297.8
1995,0.16,380.6
1996,0.6,379
1997,0.3,330
1998,0.97,449.4
1999,0.32,410.6
2000,-0.04,492.4
2001,0.05,313.2
2002,0.71,185
2003,0.69,442.2
2004,0.54,288.2
2005,1.16,465.2
2006,0.5,219.2
2007,0.76,326.4
2008,0.45,326
2009,0.93,210.4
2010,0.33,706.2
2011,0,481.4
2012,0.24,316.6
2013,1.33,314.6
2014,1.04,357
2015,0.94,323.6
2016,0.99,496.4
2017,1.06,352.8
2018,1.12,176
2019,1.52,228.4
2020,1.15,422.8
