State,Date,crude_rate
New South Wales,2019-09-01,44.01
New South Wales,2019-09-08,41.09
New South Wales,2019-09-15,41.05
New South Wales,2019-09-22,40.32
New South Wales,2019-09-29,39.54
New South Wales,2019-10-06,35.97
New South Wales,2019-10-13,35.70
New South Wales,2019-10-20,36.55
New South Wales,2019-10-27,35.40
New South Wales,2019-11-03,35.31
New South Wales,2019-11-10,34.98
New South Wales,2019-11-17,36.38
New South Wales,2019-11-24,35.50
New South Wales,2019-12-01,36.39
New South Wales,2020-12-08,35.45
New South Wales,2019-12-15,32.52
New South Wales,2019-12-22,24.99
New South Wales,2019-12-29,26.30
New South Wales,2020-01-05,28.85
New South Wales,2020-01-12,28.51
New South Wales,2020-01-19,30.65
New South Wales,2020-01-26,28.59
New South Wales,2020-02-02,29.79
New South Wales,2020-02-09,31.90
New South Wales,2020-02-16,31.93
New South Wales,2020-02-23,33.40
Victoria,2019-09-01,41.25
Victoria,2019-09-08,40.84
Victoria,2019-09-15,41.14
Victoria,2019-09-22,38.29
Victoria,2019-09-29,38.81
Victoria,2019-10-06,37.55
Victoria,2019-10-13,36.71
Victoria,2019-10-20,35.35
Victoria,2019-10-27,37.23
Victoria,2019-11-03,33.24
Victoria,2019-11-10,33.59
Victoria,2019-11-17,35.29
Victoria,2019-11-24,34.53
Victoria,2019-12-01,34.74
Victoria,2020-12-08,34.52
Victoria,2019-12-15,33.86
Victoria,2019-12-22,26.04
Victoria,2019-12-29,25.69
Victoria,2020-01-05,30.92
Victoria,2020-01-12,31.21
Victoria,2020-01-19,29.74
Victoria,2020-01-26,27.65
Victoria,2020-02-02,27.94
Victoria,2020-02-09,30.54
Victoria,2020-02-16,29.15
Victoria,2020-02-23,31.98
Queensland,2019-09-01,60.78
Queensland,2019-09-08,61.31
Queensland,2019-09-15,57.21
Queensland,2019-09-22,51.49
Queensland,2019-09-29,48.29
Queensland,2019-10-06,43.46
Queensland,2019-10-13,45.72
Queensland,2019-10-20,43.42
Queensland,2019-10-27,44.92
Queensland,2019-11-03,44.62
Queensland,2019-11-10,46.59
Queensland,2019-11-17,46.94
Queensland,2019-11-24,44.07
Queensland,2019-12-01,45.54
Queensland,2020-12-08,44.37
Queensland,2019-12-15,40.91
Queensland,2019-12-22,30.76
Queensland,2019-12-29,34.43
Queensland,2020-01-05,40.64
Queensland,2020-01-12,39.05
Queensland,2020-01-19,38.75
Queensland,2020-01-26,37.89
Queensland,2020-02-02,42.42
Queensland,2020-02-09,44.45
Queensland,2020-02-16,48.33
Queensland,2020-02-23,46.96
Western Australia,2019-09-01,36.56
Western Australia,2019-09-08,37.09
Western Australia,2019-09-15,35.38
Western Australia,2019-09-22,36.37
Western Australia,2019-09-29,35.03
Western Australia,2019-10-06,35.91
Western Australia,2019-10-13,30.61
Western Australia,2019-10-20,32.55
Western Australia,2019-10-27,31.79
Western Australia,2019-11-03,32.78
Western Australia,2019-11-10,31.98
Western Australia,2019-11-17,30.80
Western Australia,2019-11-24,28.36
